"number","title","state","createdAt","updatedAt","url","milestone","labels","body"
"340","E50 ÔÇö Repo Guardrails & Release-Discipline (v0.5 Prep)","CLOSED","2025-12-30T16:47:03Z","2025-12-30T21:07:40Z","https://github.com/adaefler-art/rhythmologicum-connect/issues/340","","epic","**Ziel:** RHYTHM Repo so strukturieren und absichern, dass (a) v0.4 Ist und v0.5 Next jederzeit eindeutig sind und (b) Copilot/Dev keine Fantasie-Namen einf├╝hrt und DB/Migrations deterministisch bleiben.

**Labels**: type:epic, area:repo, prio:P0
**Milestone**: v0.5 (oder v0.5-prep)

Enth├ñlt Issues:
- I501 (Docs Reorg: Canon vs Releases + Memory Index)
- I502 (ÔÇ£No Fantasy NamesÔÇØ: Contract Registry + Env Schema + PR/CODEOWNERS Guardrails)
- I503 (DB Determinism: Migration-first + Drift Check + Typegen Gate)
- I504 (Optional: Release Verdict Workflow)

Akzeptanzkriterien:
- Repo-Struktur unterscheidet eindeutig v0.4 Ist vs v0.5 Next
- Keine Fantasie-Namen/IDs
- DB/Migrations deterministisch, CI blockt Drift
- Evidence und Verify-Commands dokumentiert
"
"341","I501 (E50) Docs Reorg: Canon vs Releases (v0.4 IST / v0.5 NEXT) + Memory Index","CLOSED","2025-12-30T16:47:03Z","2025-12-30T17:44:25Z","https://github.com/adaefler-art/rhythmologicum-connect/issues/341","","docs","**Problem**
Aktuell sind Release-Artefakte und ""kanonische"" Regeln nicht klar getrennt; Versionsstand (v0.4 vs v0.5) ist nicht sofort ersichtlich.

**Zielzustand (Struktur)**
docs/
  canon/
    PRINCIPLES.md
    REVIEW_CHECKLIST.md
    GLOSSARY.md
    DB_MIGRATIONS.md
    CONTRACTS.md
  releases/
    CURRENT.md
    v0.4/
      RELEASE.md
      verdict.json
      changelog.md
    v0.5/
      RELEASE.md
      verdict.json
      backlog.md   (oder issues. json ÔÇô w├ñhlt 1 Format und bleibt dabei)
  memory/
    INDEX.md
    entries/
    incidents/

**Tasks**
- docs/ Struktur anlegen wie oben
- docs/releases/CURRENT.md erstellen (Single Entry Point:  ""Current is v0.4 / Next is v0.5"")
- Bestehende Inhalte so einsortieren, dass v0.4=Ist, v0.5=Planung
- docs/memory/INDEX.md + Ordner entries/ & incidents/ erstellen

**Acceptance Criteria**
- docs/releases/CURRENT.md existiert und zeigt eindeutig auf v0.4 und v0.5 Dateien
- Keine ""v0.1""-Artefakte/Referenzen im Repo
- v0.4 und v0.5 haben jeweils RELEASE.md + verdict.json
- docs/canon/* ist kurz, pr├ñzise, zeitlos
- Evidence:  PR mit tree-Ausgabe & Link auf verschobene Dateien

**Verify (PowerShell)**
tree .\docs /f
rg -n ""v0\. 1|0\.1"" .\docs
"
"342","I502 (E50) ÔÇ£No Fantasy NamesÔÇØ: Contract Registry + Env Schema + PR/CODEOWNERS Guardrails","CLOSED","2025-12-30T16:47:04Z","2025-12-30T19:31:47Z","https://github.com/adaefler-art/rhythmologicum-connect/issues/342","","","**Problem**
Copilot/Dev k├Ânnen neue Strings/IDs/Env-Keys ÔÇ£erfindenÔÇØ (Statuses, Funnel IDs, Feature Flags, process.env.*), was zu Drift/Inkonsistenz f├╝hrt.

**Ziel**
Ein einziger kanonischer Ort f├╝r kritische Identifier + strikte Env-Validierung + Review-Gates.

**Tasks**
- src/contracts/registry.ts anlegen (TS const arrays + union types)
- src/env.ts anlegen (zod) und direkte process.env.* Nutzung auf env.* umstellen
- .github/CODEOWNERS erg├ñnzen (docs/canon/**, docs/releases/**, src/contracts/**, src/env.ts, supabase/migrations/**)
- .github/pull_request_template.md erg├ñnzen (Evidence/Registry/Env/Memory Entry Pflicht)

**Acceptance Criteria**
- Neue Identifier ├╝ber registry.ts
- Neue Env Vars ├╝ber env.ts
- CODEOWNERS greift f├╝r Guardrail-Dateien
- PR Template erzwingt Evidence + Memory Entry

**Verify (PowerShell)**
rg -n ""process\.env\."" .
rg -n ""registry\.(ts)|src/contracts/registry"" .
"
"343","I503 (E50) DB Determinism: Migration-first + Drift Check + Typegen Gate in CI","CLOSED","2025-12-30T16:47:04Z","2025-12-30T20:33:36Z","https://github.com/adaefler-art/rhythmologicum-connect/issues/343","","db","**Problem**
Schema-Drift und ÔÇ£stilleÔÇØ DB-├änderungen (lokal/remote) f├╝hren zu nicht reproduzierbaren Zust├ñnden. F├╝r v0.5 brauchen wir deterministische Migrations- und Types-Disziplin.

**Ziel**
CI blockt PRs, wenn:
- Migration fehlt
- Drift entsteht
- Generated types nicht aktuell sind

**Tasks**
- DB Stack erkennen (Supabase CLI? Prisma? Knex? plain SQL?); Entscheidung in docs/canon/DB_MIGRATIONS.md dokumentieren
- Migration-first Regeln dokumentieren
- CI Job: Apply/Reset Migrations, Drift Check, Typegen + git diff
- Runbook in PowerShell in docs/canon/DB_MIGRATIONS.md
- CODEOWNERS f├╝r Migrationsverzeichnis sicherstellen

**Acceptance Criteria**
- PR ohne Migration bei Schema├ñnderung = CI Fail
- Drift/Typegen = CI Fail
- Doku in docs/canon/DB_MIGRATIONS.md

**Verify (PowerShell)**
supabase start
supabase db reset
supabase gen types typescript --local > .\src\types\supabase.ts
git diff --exit-code
"
"344","I504 (E50) Release Verdict Workflow: v0.4 finalisieren + v0.5 Gate-Plan","CLOSED","2025-12-30T16:47:04Z","2025-12-30T20:58:38Z","https://github.com/adaefler-art/rhythmologicum-connect/issues/344","","","**Ziel**
v0.4: Ist-Release dokumentiert inkl. finalem verdict.json + Evidence-Links
v0.5: Gate-Plan + DoD + Risiken + initial HOLD

**Acceptance Criteria**
docs/releases/v0.4/verdict.json: finaler Status + Evidence-Links
v0.5/RELEASE.md: Scope + DoD + Gate-Plan + Next actions.
"
"347","EPIC V05-E01 ÔÇö Data Model + RLS + Versioning + Audit (Supabase/Postgres)","CLOSED","2025-12-30T19:26:05Z","2025-12-31T14:12:50Z","https://github.com/adaefler-art/rhythmologicum-connect/issues/347","","database;epic","**Intent:** Stabiler Core + JSONB Variabilit├ñt + konsequente Versionierung (Funnel/Algorithm/Prompt/Report) + RLS-Isolation + Audit. 

Diese Epic umfasst: 
- Datenmodell- und Tabellenstruktur inkl.  JSONB-Felder
- RLS-Policies f├╝r Zugriffssteuerung
- Vollst├ñndige Versionierung aller fachlich kritischen Entities
- Audit-Logging entscheidungsrelevanter Events

**Sub-Issues:**
- [ ] V05-I01.1 ÔÇö DB Schema v0.5: Core Tables + JSONB Fields
- [ ] V05-I01.2 ÔÇö RLS Policies: Patient vs Clinician/Nurse vs Admin (Tenant-isoliert)
- [ ] V05-I01.3 ÔÇö Versioning Contract:  Funnel-Version / Algorithm-Version / Prompt-Version / Report-Version
- [ ] V05-I01.4 ÔÇö Audit Log (entscheidungsrelevante Events)

**Labels:** epic, database"
"348","V05-I01.1 ÔÇö DB Schema v0.5: Core Tables + JSONB Fields","CLOSED","2025-12-30T19:26:05Z","2025-12-30T21:59:30Z","https://github.com/adaefler-art/rhythmologicum-connect/issues/348","","child-of-epic;database","```text
Du bist mein GitHub Copilot Implementation-Co-Pilot f├╝r RHYTHM (Rhythmologicum Connect) ÔÇö Issue V05-I01.1:
ÔÇ£DB Schema v0.5: Core Tables + JSONB FieldsÔÇØ (Supabase/Postgres).

Ziel
Implementiere das v0.5 Core-Datenmodell als Supabase migrations (migration-first, deterministisch), mit JSONB f├╝r variable Inhalte und klaren Foreign Keys. Das Schema muss die v0.5 Executive Summary unterst├╝tzen: Multi-Funnel, Assessments, Document Upload + Extraction, Processing Results, Reports/Sections, Tasks/Notifications, Audit Log, Rollen/Org/RLS-ready.

Nicht verhandelbare Guardrails
- Keine DB-├änderung ohne Migration (supabase/migrations/*.sql).
- Keine Fantasie-Namen: wenn neue Status/Enums/Keys ben├Âtigt werden, lege sie bewusst an und dokumentiere sie kurz in docs/canon/CONTRACTS.md (oder dem Contract-Doc im Repo).
- Idempotency: Enforce Unique Keys f├╝r retry-sichere Upserts (z.B. report per assessment+version).
- Determinism: Nach Umsetzung muss `npm run db:verify` (oder euer ├äquivalent) in CI gr├╝n sein (drift + typegen).
- PowerShell-only in allen Runbook-Snippets, keine Bash.

Arbeitsreihenfolge (strikt)
1) Repo scan & Plan
   - Finde bestehenden DB-Stand: supabase/migrations, schema snapshots, bestehende Tabellen.
   - Pr├╝fe ob schon Tabellen existieren, die wir erweitern m├╝ssen (keine Duplikate).
   - Erstelle einen kurzen Plan: ÔÇ£new tables / altered tables / indexes / constraintsÔÇØ.

2) Migration(s) erstellen
   - Erstelle eine neue Migration mit sauberem Timestamp-Namen.
   - Implementiere folgende Core-Entities (minimale Spalten + FKs + JSONB):
     A) Identity & Access (RLS-ready)
        - organizations (tenant)
        - users (optional: wenn Supabase auth genutzt wird, dann profiles statt users)
        - user_profiles
        - user_roles (role enum oder table), user_org_membership
     B) Funnels / Versions / Sessions
        - funnels_catalog (slug, title, pillar_id, description, is_active)
        - funnel_versions (funnel_id, version, questionnaire_config jsonb, content_manifest jsonb, algorithm_bundle_version text, prompt_version text, is_default, rollout_percent)
        - patient_funnels (patient_id, funnel_id, active_version_id, status, started_at, completed_at)
     C) Assessments / Answers / State
        - assessments (patient_id, funnel_version_id, state, current_step_id, started_at, completed_at)
        - assessment_answers (assessment_id, step_id, question_id, answer jsonb, updated_at)
        - assessment_events (assessment_id, event_type, payload jsonb, created_at)  # optional but useful for auditability
     D) Documents / Extraction
        - documents (assessment_id, storage_path, doc_type, parsing_status, extracted_data jsonb, confidence jsonb, confirmed_data jsonb, confirmed_at)
     E) Calculated Results / Ranking
        - calculated_results (assessment_id, algorithm_version, scores jsonb, risk_models jsonb, priority_ranking jsonb, created_at)
     F) Reports / Sections / Delivery
        - reports (assessment_id, report_version, prompt_version, status, safety_score, safety_findings jsonb, html_path, pdf_path, citations_meta jsonb, created_at)
        - report_sections (report_id, section_key, prompt_version, content text, citations_meta jsonb, created_at)
     G) Tasks / Notifications
        - tasks (patient_id, assessment_id, created_by_role, assigned_to_role, task_type, payload jsonb, status, due_at, created_at)
        - notifications (user_id, channel, template_key, payload jsonb, scheduled_at, sent_at, status)
     H) Audit
        - audit_log (actor_user_id, actor_role, entity_type, entity_id, action, diff jsonb, created_at)

   - Setze sinnvolle Indizes:
     - funnels_catalog.slug unique
     - funnel_versions (funnel_id, version) unique
     - assessments (patient_id, funnel_version_id, started_at)
     - reports unique per (assessment_id, report_version)
     - report_sections unique per (report_id, section_key)
     - tasks index by (assigned_to_role, status, due_at)
     - audit_log index by (entity_type, entity_id, created_at)

   - Setze Constraints / enums:
     - role enum: patient/clinician/nurse/admin (muss nurse enthalten)
     - status enums: minimal, aber konsistent (assessment_state, report_status, task_status, parsing_status)
     - Timestamps default now()

3) Seeds/Types/Verification
   - Wenn das Repo typegen nutzt: `npm run db:typegen` aktualisieren (lib/types/supabase.ts o.├ñ.).
   - Stelle sicher, dass drift check sauber bleibt.

4) Doku kurz erg├ñnzen
   - docs/canon/DB_MIGRATIONS.md: falls neue Scripts/Verifikationen n├Âtig sind, nur minimal.
   - docs/canon/CONTRACTS.md: nur falls neue Status/Enums definiert wurden (kein Roman).

Acceptance Criteria (m├╝ssen erf├╝llt sein)
- Neue Migration(en) liegen unter supabase/migrations/.
- ÔÇ£Blank DB ÔåÆ apply migrationsÔÇØ l├ñuft ohne Fehler.
- Tabellen decken mindestens ab: users/profiles/roles, funnels_catalog/funnel_versions, assessments/answers, documents/extraction, calculated_results, reports/report_sections, tasks/notifications, audit_log.
- JSONB Felder vorhanden f├╝r questionnaire_config/content_manifest/extracted_data/scores/risk_models/priority_ranking/citations_meta etc.
- Unique constraints f├╝r idempotente Generierung (reports per assessment+version, sections per report+key).
- Evidence in PR: Schema diff output + typegen diff (PowerShell).

Deliverables in PR
- Migration SQL
- Updated generated TS types file (falls genutzt)
- Kurze PR Beschreibung mit Evidence

PowerShell Verify Commands (in PR angeben)
- npm ci
- npm run db:reset
- npm run db:diff
- npm run db:typegen
- git diff -- lib/types/supabase.ts
- npm test
- npm run build
```
"
"349","V05-I01.2 ÔÇö RLS Policies: Patient vs Clinician/Nurse vs Admin (Tenant-isoliert)","CLOSED","2025-12-30T19:26:05Z","2025-12-31T09:26:37Z","https://github.com/adaefler-art/rhythmologicum-connect/issues/349","","child-of-epic;database","Du bist mein GitHub Copilot Implementation-Co-Pilot f├╝r RHYTHM ÔÇö Issue V05-I01.2:
ÔÇ£RLS Policies: Patient vs Clinician/Nurse vs Admin (tenant-isoliert)ÔÇØ (Supabase/Postgres).

Ziel
Implementiere robuste Row Level Security (RLS) auf den v0.5 Core-Tabellen. Patienten sehen nur eigene Daten, Clinician/Nurse nur F├ñlle ihrer Organization (oder explizit zugewiesene), Admin nur tenant-konfigurierbare Daten. Keine offenen ÔÇ£SELECT *ÔÇØ Leaks.

Arbeitsreihenfolge (strikt)
1) Repo scan & Ist-Stand
   - Finde alle Tabellen aus V05-I01.1.
   - Pr├╝fe: Welche RLS/Policies existieren bereits? Welche Tabellen haben RLS enabled?
   - Pr├╝fe Auth-Setup: Supabase auth users + profiles? Welche JWT claims werden genutzt (auth.uid(), role claim, org_id claim, membership table)?

2) Decide the RLS access model (minimal, aber korrekt)
   Implementiere ein simples, deterministisches Modell:
   - organizations: tenant
   - user_org_membership: mapping user_id -> org_id + role (patient/clinician/nurse/admin)
   - patient_profiles: besitzt user_id + org_id
   - Clinician/Nurse Zugriff: gleiche org_id ODER assignment (optional, falls vorhanden)
   - Admin Zugriff: nur org-config tables (nicht patient health data), sofern role=admin innerhalb org.

   Wenn assignment table fehlt, lege minimal an:
   - clinician_patient_assignments (org_id, clinician_user_id, patient_user_id, created_at)
   (Nurse analog oder nurse sieht alle im org_id)

3) Implementiere RLS in migrations
   - Erstelle neue Migration: enable RLS f├╝r relevante Tabellen:
     - user_profiles, patient_profiles (falls getrennt), funnels_catalog (read), funnel_versions (read), patient_funnels, assessments, assessment_answers, documents, calculated_results, reports, report_sections, tasks, notifications, audit_log
   - Schreibe Policies (SELECT/INSERT/UPDATE/DELETE) mit klaren Regeln:
     A) Patient:
        - SELECT eigene rows (patient_user_id = auth.uid())
        - INSERT/UPDATE nur eigene rows (mit check)
     B) Clinician:
        - SELECT rows f├╝r Patienten aus gleicher org_id (oder assignment)
        - UPDATE nur in clinician-berechtigten Tabellen (z.B. reports review status, tasks)
     C) Nurse:
        - SELECT tasks/patients in org_id
        - UPDATE tasks status (assigned_to_role nurse) und support notes
     D) Admin:
        - SELECT/UPDATE org config (menus, tokens, funnel activation), kein Zugriff auf patient-sensitive Tabellen au├ƒer explizit erlaubt (default: NO)
   - Achte auf ÔÇ£WITH CHECKÔÇØ bei INSERT/UPDATE.

4) Add helper SQL functions (optional, empfohlen)
   - Erstelle stable functions:
     - is_member_of_org(org_id)
     - current_user_role(org_id)
   Damit Policies weniger dupliziert sind.

5) Tests / Evidence
   - Schreibe mindestens 1ÔÇô2 DB-level smoke tests (falls ihr DB tests habt) oder ein script, das Policies probeweise validiert.
   - Evidence muss zeigen: patient kann nicht fremde assessment lesen; clinician kann in anderer org nicht lesen.

Acceptance Criteria
- RLS ist aktiviert (ALTER TABLE ... ENABLE ROW LEVEL SECURITY) f├╝r alle sensiblen Tabellen.
- Policies sind pro Tabelle definiert, minimal korrekt, kein ÔÇ£public readÔÇØ f├╝r Patientendaten.
- Patient sieht nur eigene Daten.
- Clinician/Nurse sehen nur org-gebunden oder assigned Patienten.
- Admin sieht nur org-config (default no PHI).
- Evidence: SQL/Migration + kurze Verify-Kommandos + Beispiel-Queries.

PowerShell Verify Commands (in PR)
- npm ci
- npm run db:reset
- npm run db:diff
- npm run db:typegen
- npm test
- npm run build

Deliverables
- Neue Migration(en) mit RLS enable + policies + ggf. assignment table/functions
- Kurze Doku-Erg├ñnzung: docs/canon/DB_MIGRATIONS.md oder docs/canon/CONTRACTS.md (nur Regeln, keine Romane)
"
"350","V05-I01.3 ÔÇö Versioning Contract: Funnel-Version / Algorithm-Version / Prompt-Version / Report-Version","CLOSED","2025-12-30T19:26:06Z","2025-12-31T10:39:37Z","https://github.com/adaefler-art/rhythmologicum-connect/issues/350","","child-of-epic;database","Du bist mein GitHub Copilot Implementation-Co-Pilot f├╝r RHYTHM ÔÇö Issue V05-I01.3:
ÔÇ£Versioning Contract: Funnel-Version / Algorithm-Version / Prompt-Version / Report-VersionÔÇØ (reproduzierbar).

Ziel
Stelle sicher, dass jeder erzeugte Output (Scores, Ranking, Report, Sections) eindeutig auf:
- funnel_version
- algorithm_version (bundle)
- prompt_version
- report_version
referenziert. Ziel ist Reproduzierbarkeit: ÔÇ£Was wusste das System damals?ÔÇØ muss rekonstruierbar sein.

Arbeitsreihenfolge (strikt)
1) Repo scan
   - Finde aktuelle Tabellen: funnels_catalog, funnel_versions, calculated_results, reports, report_sections.
   - Finde vorhandene version fields oder TODOs in Code (processing pipeline).
   - Pr├╝fe, ob es bereits eine ÔÇ£version registryÔÇØ im Code gibt.

2) Define the canonical version fields (DB + code)
   - funnel_versions: version (string/semver), questionnaire_config jsonb, content_manifest jsonb, algorithm_bundle_version, prompt_version, is_default, rollout_percent
   - calculated_results: algorithm_version (not null), funnel_version_id (FK), computed_at, inputs_hash (optional)
   - reports: report_version (not null), prompt_version (not null), funnel_version_id (FK), algorithm_version, status, safety_score, citations_meta
   - report_sections: section_key, prompt_version, content, citations_meta

   Add unique constraints for idempotency:
   - calculated_results unique (assessment_id, algorithm_version)
   - reports unique (assessment_id, report_version)
   - report_sections unique (report_id, section_key)

3) Implement migrations
   - Wenn Felder fehlen: ALTER TABLE add columns + NOT NULL defaults (oder backfill) + constraints.
   - Optional: add ÔÇ£inputs_hashÔÇØ (sha256 of normalized inputs) to detect re-run equivalence.

4) Implement code path wiring
   - In processing orchestrator / report generator:
     - When generating results, persist algorithm_version + prompt_version + report_version.
     - Ensure all downstream reads use these refs (not ÔÇ£latestÔÇØ).
   - Provide a helper to compute report_version deterministically:
     - e.g. report_version = `${funnelVersion.version}-${algorithmVersion}-${promptVersion}-${date or increment}`
     - Or: explicit increment per assessment (v1, v2...) stored in DB.
   Choose a simple deterministic rule and document it.

5) Evidence
   - Create one example flow (seed or test) that produces:
     - a calculated_results row with algorithm_version set
     - a report row with report_version + prompt_version set
     - sections with prompt_version
   - Show DB rows in logs or test output.

Acceptance Criteria
- All four version references exist and are persisted end-to-end.
- Reports are reproducible via stable version references (no ÔÇ£latest implicitÔÇØ).
- Unique constraints guarantee retry-safety (idempotent re-runs).
- Typegen updated.
- Evidence: example row(s) + migration diff.

PowerShell Verify Commands
- npm ci
- npm run db:reset
- npm run db:diff
- npm run db:typegen
- npm test
- npm run build

Deliverables
- Migration(s)
- Updated processing code paths
- Minimal doc update: docs/canon/CONTRACTS.md (ÔÇ£Versioning ContractÔÇØ section)
"
"351","V05-I01.4 ÔÇö Audit Log (entscheidungsrelevante Events)","CLOSED","2025-12-30T19:26:06Z","2025-12-31T14:12:22Z","https://github.com/adaefler-art/rhythmologicum-connect/issues/351","","child-of-epic;database;OPS","Du bist mein GitHub Copilot Implementation-Co-Pilot f├╝r RHYTHM ÔÇö Issue V05-I01.4:
ÔÇ£Audit Log (entscheidungsrelevante Events)ÔÇØ (Supabase/Postgres).

Ziel
Implementiere ein Audit Logging, das jede relevante Entscheidung/├änderung nachvollziehbar macht:
- Report generation + review approve/reject
- Task creation/assignment/status change
- Config changes (funnel activation/version rollout, navigation/layout config)
- Consent record changes (falls im Scope)
Audit muss actor, role, org, entity refs, action, diff/payload und timestamp enthalten.

Arbeitsreihenfolge (strikt)
1) Repo scan
   - Pr├╝fe: audit_log Tabelle existiert schon aus V05-I01.1? Wenn ja: erweitern statt duplizieren.
   - Finde alle Stellen im Code, die ÔÇ£decision eventsÔÇØ sind (API routes, processing orchestrator, admin config endpoints, clinician actions).

2) Define canonical audit event contract (DB + code)
   DB: audit_log columns (minimal):
   - id (uuid)
   - org_id
   - actor_user_id (nullable for system jobs)
   - actor_role (enum/text; must include nurse)
   - source (e.g. 'api', 'job', 'admin-ui')
   - entity_type (text/enum: 'assessment','report','task','funnel_version','config',...)
   - entity_id (uuid/text)
   - action (text: 'create','update','approve','reject','generate','flag','assign',...)
   - diff jsonb (before/after or patch-like)
   - metadata jsonb (request_id, prompt_version, algorithm_version, report_version, correlation ids)
   - created_at default now()

   Implement a small TS helper:
   - lib/audit/log.ts: logAuditEvent({ ... }) with strict types, no magic strings (registry-backed where applicable).

3) Implement logging in critical paths (minimal set)
   - Report lifecycle:
     - report generated (include versions)
     - report flagged (include safety findings summary)
     - report approved/rejected (include reviewer role, reason)
   - Tasks:
     - created/assigned/status change
   - Admin config changes:
     - funnel activation/version rollouts
     - navigation/layout config updates
   - Optional: consent changes

4) Ensure no PHI in audit payload by default
   - diff should reference ids + status transitions + versions, not raw clinical text.
   - If necessary, store redacted summaries.

5) RLS policy alignment
   - Patient: typically read own audit for own entities (optional)
   - Clinician/Nurse: read audit in org for assigned patients
   - Admin: read config audit only

6) Evidence
   - Add at least one test or a minimal integration proof:
     - Call endpoint that generates a report and shows an audit_log entry created.
     - Call endpoint approve/reject and shows second audit entry.
   - Include output in PR.

Acceptance Criteria
- audit_log exists and stores required fields.
- Critical actions create audit entries.
- Audit is queryable and linked to entities.
- Typegen updated.
- Evidence included (queries/logs/tests).
- No PHI leakage in audit payload by default.

PowerShell Verify Commands
- npm ci
- npm run db:reset
- npm run db:diff
- npm run db:typegen
- npm test
- npm run build

Deliverables
- Migration(s) for audit_log (if needed) + indexes
- TS audit helper + integrations in key routes/jobs
- Minimal doc note in docs/canon/CONTRACTS.md (ÔÇ£Audit Event ContractÔÇØ)
"
