"number","title","mergedAt","url","mergeCommit","changedFiles","labels","files","closingIssues"
"345","Reorganize docs/ into canon, releases, and memory","2025-12-30T17:44:24Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/345","4dc3bb2fc29c2b8b269689ca079f0c8b53aa748a","14","","docs/canon/CONTRACTS.md;docs/canon/DB_MIGRATIONS.md;docs/canon/GLOSSARY.md;docs/canon/PRINCIPLES.md;docs/canon/REVIEW_CHECKLIST.md;docs/memory/INDEX.md;docs/releases/CURRENT.md;docs/releases/v0.4/changelog.md;docs/releases/v0.4/RELEASE.md;docs/releases/v0.4/verdict.json;docs/releases/v0.5/backlog.md;docs/releases/v0.5/RELEASE.md;docs/releases/v0.5/verdict.json;README.md","341"
"346","I502: Contract Registry + Environment Schema + CODEOWNERS Guardrails","2025-12-30T19:31:46Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/346","2ca9b2ef7ae76c8d47fda8734e53dced87e8f5f0","20","",".github/CODEOWNERS;.github/PULL_REQUEST_TEMPLATE.md;app/api/funnels/[slug]/content-pages/route.ts;app/api/funnels/[slug]/definition/route.ts;docs/canon/CONTRACTS.md;eslint.config.mjs;lib/__tests__/env.test.ts;lib/api/authHelpers.ts;lib/contracts/__tests__/registry.test.ts;lib/contracts/registry.ts;lib/env.ts;lib/featureFlags.ts;lib/supabaseClient.ts;lib/supabaseServer.ts;lib/types/content.ts;lib/types/funnel.ts;lib/utils/contentResolver.ts;lib/validation/requiredQuestions.ts;package.json;package-lock.json","342"
"399","Add DB determinism enforcement: migration-first + drift check + typegen gate (PowerShell-conform)","2025-12-30T20:33:35Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/399","128fb13820f81174b09ac27a31420454ad7f1d60","13","",".github/CODEOWNERS;.github/workflows/db-determinism.yml;docs/canon/DB_MIGRATIONS.md;docs/DB_DETERMINISM_CI_FLOW.md;docs/I503_ACCEPTANCE_VERIFICATION.md;docs/I503_IMPLEMENTATION_SUMMARY.md;docs/POWERSHELL_MIGRATION_SUMMARY.md;lib/types/README.md;lib/types/supabase.ts;package.json;README.md;scripts/verify-db-determinism.ps1;supabase/config.toml","343"
"400","I504: Finalize v0.4 verdict with evidence links and create v0.5 gate-based release plan","2025-12-30T20:58:37Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/400","557c5ae3db1cdcc33bf66f92a1764d20f1c98fe0","3","","docs/releases/v0.4/verdict.json;docs/releases/v0.5/RELEASE.md;docs/releases/v0.5/verdict.json","344"
"401","Add v0.5 core schema: JSONB fields, multi-tenant, versioning, document extraction, audit (schema only)","2025-12-30T21:59:29Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/401","b253c416cbebd6f186dcbf856143e05842e3cc9f","6","","docs/canon/CONTRACTS.md;docs/V05_I01_1_CONSTRAINTS_EVIDENCE.md;docs/V05_SCHEMA_EVIDENCE.md;PR_SUMMARY_V05.md;scripts/verify-v05-schema.ps1;supabase/migrations/20251230211228_v05_core_schema_jsonb_fields.sql","348"
"402","Implement V0.5 multi-tenant RLS policies with same-org isolation","2025-12-31T09:26:36Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/402","0f4153349a470f8aafc2ade579f2c07f8ea00936","7","","docs/canon/CONTRACTS.md;docs/canon/DB_MIGRATIONS.md;docs/V05_RLS_EVIDENCE.md;lib/types/supabase.ts;scripts/rls/verify-rls.ps1;scripts/rls/verify-rls.sql;supabase/migrations/20251231072346_v05_comprehensive_rls_policies.sql","349"
"403","V05-I01.3: Implement versioning contract for reproducible processing outputs","2025-12-31T10:39:36Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/403","b5f71f3c748aefa651d0add769659e299c919483","10","","app/api/amy/stress-report/route.ts;docs/canon/CONTRACTS.md;docs/examples/versioning_demo.sql;docs/V05_I01_3_VERSIONING_EVIDENCE.md;lib/types/supabase.ts;lib/versioning/__tests__/constants.test.ts;lib/versioning/constants.ts;scripts/verify-db-determinism.ps1;supabase/migrations/20251231093345_v05_i01_3_versioning_contract.sql;V05_I01_3_SUMMARY.md","350"
"404","V05-I01.4: Implement audit logging for decision-relevant events with hard PHI protection","2025-12-31T14:12:21Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/404","eecf83d0d78532db76b93c11f2e275e399db9ed0","16","",".gitattributes;.github/workflows/db-determinism.yml;app/api/amy/stress-report/route.ts;AUDIT_LOG_IMPLEMENTATION.md;docs/canon/CONTRACTS.md;lib/audit/__tests__/redaction.test.ts;lib/audit/__tests__/registry.test.ts;lib/audit/index.ts;lib/audit/log.ts;lib/audit/README.md;lib/contracts/registry.ts;lib/types/supabase.ts;supabase/migrations/20251231104527_v05_i01_4_audit_log_extensions.sql;tools/demo-audit-logging.mjs;tools/verify-audit-implementation.ps1;VERIFICATION_EVIDENCE.md","351"
"405","Implement 7-pillar funnel catalog with V05 core schema integration (V05-I02.1)","2025-12-31T16:08:09Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/405","547de3ff9b1147eb85cf3119b71387da1f406fc1","15","","app/api/funnels/catalog/[slug]/route.ts;app/api/funnels/catalog/__tests__/catalog.test.ts;app/api/funnels/catalog/route.ts;app/components/FunnelCard.tsx;app/patient/assessment/client.tsx;app/patient/funnels/client.tsx;app/patient/funnels/page.tsx;docs/V05_I02_1_CATALOG_IMPLEMENTATION.md;docs/V05_I02_1_SCHEMA_VERIFICATION.md;docs/V05_I02_1_VISUAL_EVIDENCE.md;lib/contracts/registry.ts;lib/types/catalog.ts;lib/types/supabase.ts;supabase/migrations/20251231142000_create_funnel_catalog.sql;supabase/migrations/20251231145000_fix_catalog_schema.sql","353"
"407","Add DB schema manifest and migration linter to block non-canonical objects","2026-01-01T09:59:56Z","https://github.com/adaefler-art/rhythmologicum-connect/pull/407","eb4540121ba0516760ce2d7bf97c62788b7e77c6","10","",".github/workflows/db-determinism.yml;docs/canon/DB_MIGRATIONS.md;docs/canon/DB_SCHEMA_MANIFEST.json;docs/I505_IMPLEMENTATION_SUMMARY.md;package.json;scripts/db/fixtures/allowed.sql;scripts/db/fixtures/forbidden.sql;scripts/db/lint-migrations.ps1;scripts/db/README.md;scripts/db/test-linter.ps1","406"
